"id","FAM1","FAM1_OK","FAM2","FAM2_OK","FAM3","FAM3_OK","FAM4","FAM4_OK","comment","data_source"
"BLT_001","FAM_RL","yes","FAM_RR","yes","FAM_LL","yes","FAM_LR","yes","","BLT"
"BLT_002","FAM_RL","yes","FAM_RR","yes","FAM_LL","no","FAM_LR","yes","mismatch","BLT"
"BLT_003","FAM_LR","no","FAM_LL","no","FAM_RR","no","FAM_RL","no","technical problem","BLT"
"BLT_004","FAM_LR","no","FAM_LL","no","FAM_RR","no","FAM_RL","no","preterm","BLT"
"BLT_005","FAM_LR","yes","FAM_LL","no","FAM_RR","yes","FAM_RL","no","mismatch","BLT"
"BLT_006","FAM_RL","yes","FAM_RR","yes","FAM_LL","yes","FAM_LR","yes","little movements","BLT"
"BLT_007","FAM_RL","yes","FAM_RR","no","FAM_LL","yes","FAM_LR","no","mismatch","BLT"
"BLT_008","FAM_LR","yes","FAM_LL","no","FAM_RR","no","FAM_RL","no","mismatch","BLT"
"BLT_009","FAM_LR","no","FAM_LL","no","FAM_RR","no","FAM_RL","no","mismatch and half mother's face visibile","BLT"
"BLT_010","FAM_RL","no","FAM_RR","no","FAM_LL","yes","FAM_LR","no","mismatch","BLT"
"BLT_011","FAM_LR","no","FAM_LL","no","FAM_RR","no","FAM_RL","no","preterm","BLT"
"BLT_012","FAM_LR","yes","FAM_LL","no","FAM_RR","no","FAM_RL","no","mismatch and mother's face visible from afar (dot tracking child's eyes)","BLT"
"BLT_013","FAM_LR","yes","FAM_LL","yes","FAM_RR","yes","FAM_RL","yes","","BLT"
"BLT_014","FAM_RL","no","FAM_RR","no","FAM_LL","no","FAM_LR","no","mismatch and upper part of mother's face visible","BLT"
"BLT_015","FAM_RL","no","FAM_RR","no","FAM_LL","no","FAM_LR","no","many movements and crying","BLT"
"BLT_016","FAM_LR","yes","FAM_LL","no","FAM_RR","yes","FAM_RL","yes","in LL mismatch in the first half","BLT"
"CBL_001","FAM_LR","yes","FAM_LL","yes","FAM_RR","yes","FAM_RL","yes","","CHOSUN"
"CBL_002","FAM_RL","yes","FAM_RR","yes","FAM_LL","yes","FAM_LR","yes","","CHOSUN"
