"subid","condition","aoi","freq","data_source"
"BLT_001_B","fam","distractor",0.395299145299145,"BLT"
"BLT_001_B","fam","none",0.397435897435897,"BLT"
"BLT_001_B","fam","target",0.207264957264957,"BLT"
"BLT_002_B","fam","distractor",0.166666666666667,"BLT"
"BLT_002_B","fam","none",0.13768115942029,"BLT"
"BLT_002_B","fam","target",0.695652173913043,"BLT"
"BLT_005_A","fam","distractor",0.218543046357616,"BLT"
"BLT_005_A","fam","none",0.317880794701987,"BLT"
"BLT_005_A","fam","target",0.463576158940397,"BLT"
"BLT_006_B","fam","distractor",0.223404255319149,"BLT"
"BLT_006_B","fam","none",0.346808510638298,"BLT"
"BLT_006_B","fam","target",0.429787234042553,"BLT"
"BLT_007_B","fam","distractor",0.0265486725663717,"BLT"
"BLT_007_B","fam","none",0.628318584070796,"BLT"
"BLT_007_B","fam","target",0.345132743362832,"BLT"
"BLT_008_A","fam","distractor",0.302325581395349,"BLT"
"BLT_008_A","fam","none",0.697674418604651,"BLT"
"BLT_010_B","fam","none",0.835164835164835,"BLT"
"BLT_010_B","fam","target",0.164835164835165,"BLT"
"BLT_012_A","fam","none",0.194915254237288,"BLT"
"BLT_012_A","fam","target",0.805084745762712,"BLT"
"BLT_013_A","fam","distractor",0.357954545454545,"BLT"
"BLT_013_A","fam","none",0.278409090909091,"BLT"
"BLT_013_A","fam","target",0.363636363636364,"BLT"
"BLT_016_A","fam","distractor",0.0274509803921569,"BLT"
"BLT_016_A","fam","none",0.250980392156863,"BLT"
"BLT_016_A","fam","target",0.72156862745098,"BLT"
"BLT_008_A","fam","target",0,"BLT"
"BLT_010_B","fam","distractor",0,"BLT"
"BLT_012_A","fam","distractor",0,"BLT"
"CBL_001_A","fam","distractor",0.209302326,"CHOSUN"
"CBL_001_A","fam","none",0.390697674,"CHOSUN"
"CBL_001_A","fam","target",0.4,"CHOSUN"
"CBL_002_B","fam","distractor",0.142384106,"CHOSUN"
"CBL_002_B","fam","none",0.738410596,"CHOSUN"
"CBL_002_B","fam","target",0.119205298,"CHOSUN"
"CBL_003_A","fam","distractor",0.474358974,"CHOSUN"
"CBL_003_A","fam","none",0.405982906,"CHOSUN"
"CBL_003_A","fam","target",0.11965812,"CHOSUN"
"CBL_005_A","fam","distractor",0.25,"CHOSUN"
"CBL_005_A","fam","none",0.394366197,"CHOSUN"
"CBL_005_A","fam","target",0.355633803,"CHOSUN"
"CBL_006_B","fam","distractor",0.145038168,"CHOSUN"
"CBL_006_B","fam","none",0.675572519,"CHOSUN"
"CBL_006_B","fam","target",0.179389313,"CHOSUN"
"CBL_007_B","fam","distractor",0.146464646,"CHOSUN"
"CBL_007_B","fam","none",0.54040404,"CHOSUN"
"CBL_007_B","fam","target",0.313131313,"CHOSUN"
"CBL_009_A","fam","distractor",0.304255319,"CHOSUN"
"CBL_009_A","fam","none",0.395744681,"CHOSUN"
"CBL_009_A","fam","target",0.3,"CHOSUN"
"CBL_010_A","fam","distractor",0.203821656,"CHOSUN"
"CBL_010_A","fam","none",0.23566879,"CHOSUN"
"CBL_010_A","fam","target",0.560509554,"CHOSUN"
"CBL_012_B","fam","distractor",0.265765766,"CHOSUN"
"CBL_012_B","fam","none",0.369369369,"CHOSUN"
"CBL_012_B","fam","target",0.364864865,"CHOSUN"
"GAUG_001_B","fam","distractor",0.362385321100917,"GAUG"
"GAUG_001_B","fam","none",0.385321100917431,"GAUG"
"GAUG_001_B","fam","target",0.252293577981651,"GAUG"
"GAUG_002_B","fam","distractor",0.190031152647975,"GAUG"
"GAUG_002_B","fam","none",0.489096573208723,"GAUG"
"GAUG_002_B","fam","target",0.320872274143302,"GAUG"
"GAUG_003_A","fam","distractor",0.291970802919708,"GAUG"
"GAUG_003_A","fam","none",0.255474452554745,"GAUG"
"GAUG_003_A","fam","target",0.452554744525547,"GAUG"
"GAUG_009_B","fam","distractor",0.0662020905923345,"GAUG"
"GAUG_009_B","fam","none",0.724738675958188,"GAUG"
"GAUG_009_B","fam","target",0.209059233449477,"GAUG"
"GAUG_014_A","fam","distractor",0.0524781341107872,"GAUG"
"GAUG_014_A","fam","none",0.457725947521866,"GAUG"
"GAUG_014_A","fam","target",0.489795918367347,"GAUG"
"GAUG_015_A","fam","distractor",0.478260869565217,"GAUG"
"GAUG_015_A","fam","none",0.260869565217391,"GAUG"
"GAUG_015_A","fam","target",0.260869565217391,"GAUG"
"GAUG_016_A","fam","distractor",0.0782608695652174,"GAUG"
"GAUG_016_A","fam","none",0.510869565217391,"GAUG"
"GAUG_016_A","fam","target",0.410869565217391,"GAUG"
"GAUG_017_A","fam","distractor",0.333333333333333,"GAUG"
"GAUG_017_A","fam","none",0.374695863746959,"GAUG"
"GAUG_017_A","fam","target",0.291970802919708,"GAUG"
"GAUG_018_B","fam","distractor",0.0490566037735849,"GAUG"
"GAUG_018_B","fam","none",0.909433962264151,"GAUG"
"GAUG_018_B","fam","target",0.0415094339622641,"GAUG"
"GAUG_019_B","fam","distractor",0.36568848758465,"GAUG"
"GAUG_019_B","fam","none",0.444695259593679,"GAUG"
"GAUG_019_B","fam","target",0.18961625282167,"GAUG"
"GAUG_020_B","fam","distractor",0.181818181818182,"GAUG"
"GAUG_020_B","fam","none",0.670454545454545,"GAUG"
"GAUG_020_B","fam","target",0.147727272727273,"GAUG"
"GAUG_022_B","fam","distractor",0.4,"GAUG"
"GAUG_022_B","fam","none",0.31304347826087,"GAUG"
"GAUG_022_B","fam","target",0.28695652173913,"GAUG"
"GAUG_023_B","fam","distractor",0.262357414448669,"GAUG"
"GAUG_023_B","fam","none",0.452471482889734,"GAUG"
"GAUG_023_B","fam","target",0.285171102661597,"GAUG"
"GAUG_024_B","fam","distractor",0.349794238683128,"GAUG"
"GAUG_024_B","fam","none",0.374485596707819,"GAUG"
"GAUG_024_B","fam","target",0.275720164609054,"GAUG"
"GAUG_026_B","fam","distractor",0.22093023255814,"GAUG"
"GAUG_026_B","fam","none",0.492248062015504,"GAUG"
"GAUG_026_B","fam","target",0.286821705426357,"GAUG"
"INCH_011_B","fam","distractor",0.236503856041131,"INCH"
"INCH_011_B","fam","none",0.416452442159383,"INCH"
"INCH_011_B","fam","target",0.347043701799486,"INCH"
"INCH_002_A","fam","distractor",0.0875,"INCH"
"INCH_002_A","fam","none",0.803125,"INCH"
"INCH_002_A","fam","target",0.109375,"INCH"
"INCH_003_B","fam","distractor",0.246268656716418,"INCH"
"INCH_003_B","fam","none",0.159203980099502,"INCH"
"INCH_003_B","fam","target",0.59452736318408,"INCH"
"INCH_004_A","fam","distractor",0.100213219616205,"INCH"
"INCH_004_A","fam","none",0.313432835820896,"INCH"
"INCH_004_A","fam","target",0.5863539445629,"INCH"
"INCH_005_B","fam","distractor",0.218181818181818,"INCH"
"INCH_005_B","fam","none",0.509090909090909,"INCH"
"INCH_005_B","fam","target",0.272727272727273,"INCH"
"INCH_006_A","fam","distractor",0.285714285714286,"INCH"
"INCH_006_A","fam","none",0.245714285714286,"INCH"
"INCH_006_A","fam","target",0.468571428571429,"INCH"
"INCH_007_B","fam","distractor",0.217391304347826,"INCH"
"INCH_007_B","fam","none",0.317391304347826,"INCH"
"INCH_007_B","fam","target",0.465217391304348,"INCH"
"INCH_008_A","fam","distractor",0.174468085106383,"INCH"
"INCH_008_A","fam","none",0.463829787234043,"INCH"
"INCH_008_A","fam","target",0.361702127659574,"INCH"
"INCH_009_B","fam","distractor",0.253897550111359,"INCH"
"INCH_009_B","fam","none",0.438752783964365,"INCH"
"INCH_009_B","fam","target",0.307349665924276,"INCH"
"LMU_107_A","fam","distractor",0.328185328185328,"LMU"
"LMU_107_A","fam","none",0.478764478764479,"LMU"
"LMU_107_A","fam","target",0.193050193050193,"LMU"
"LMU_111_A","fam","distractor",0.526501766784452,"LMU"
"LMU_111_A","fam","none",0.212014134275618,"LMU"
"LMU_111_A","fam","target",0.261484098939929,"LMU"
"LMU_114_B","fam","distractor",0.191489361702128,"LMU"
"LMU_114_B","fam","none",0.423404255319149,"LMU"
"LMU_114_B","fam","target",0.385106382978723,"LMU"
"LMU_122_A","fam","distractor",0.218106995884774,"LMU"
"LMU_122_A","fam","none",0.374485596707819,"LMU"
"LMU_122_A","fam","target",0.407407407407407,"LMU"
"LMU_129_B","fam","distractor",0.335456475583864,"LMU"
"LMU_129_B","fam","none",0.256900212314225,"LMU"
"LMU_129_B","fam","target",0.407643312101911,"LMU"
"LMU_158_B","fam","distractor",0.147727272727273,"LMU"
"LMU_158_B","fam","none",0.659090909090909,"LMU"
"LMU_158_B","fam","target",0.193181818181818,"LMU"
"LMU_166_B","fam","distractor",0.296666666666667,"LMU"
"LMU_166_B","fam","none",0.266666666666667,"LMU"
"LMU_166_B","fam","target",0.436666666666667,"LMU"
"LMU_180_A","fam","distractor",0.335740072202166,"LMU"
"LMU_180_A","fam","none",0.234657039711191,"LMU"
"LMU_180_A","fam","target",0.429602888086643,"LMU"
"LMU_199_B","fam","distractor",0.261467889908257,"LMU"
"LMU_199_B","fam","none",0.55045871559633,"LMU"
"LMU_199_B","fam","target",0.188073394495413,"LMU"
"LMU_208_B","fam","distractor",0.235668789808917,"LMU"
"LMU_208_B","fam","none",0.346072186836518,"LMU"
"LMU_208_B","fam","target",0.418259023354565,"LMU"
"LMU_248_A","fam","distractor",0.157342657342657,"LMU"
"LMU_248_A","fam","none",0.342657342657343,"LMU"
"LMU_248_A","fam","target",0.5,"LMU"
"LMU_287_A","fam","distractor",0.657446808510638,"LMU"
"LMU_287_A","fam","none",0.231914893617021,"LMU"
"LMU_287_A","fam","target",0.11063829787234,"LMU"
"LMU_288_A","fam","distractor",0.271929824561404,"LMU"
"LMU_288_A","fam","none",0.342105263157895,"LMU"
"LMU_288_A","fam","target",0.385964912280702,"LMU"
"LMU_290_B","fam","distractor",0.32,"LMU"
"LMU_290_B","fam","none",0.45,"LMU"
"LMU_290_B","fam","target",0.23,"LMU"
"LMU_329_A","fam","distractor",0.176691729323308,"LMU"
"LMU_329_A","fam","none",0.62406015037594,"LMU"
"LMU_329_A","fam","target",0.199248120300752,"LMU"
"LMU_355_A","fam","distractor",0.318181818181818,"LMU"
"LMU_355_A","fam","none",0.333333333333333,"LMU"
"LMU_355_A","fam","target",0.348484848484849,"LMU"
"LMU_369_A","fam","distractor",0.188854489164087,"LMU"
"LMU_369_A","fam","none",0.458204334365325,"LMU"
"LMU_369_A","fam","target",0.352941176470588,"LMU"
"LMU_372_B","fam","distractor",0.430656934306569,"LMU"
"LMU_372_B","fam","none",0.248175182481752,"LMU"
"LMU_372_B","fam","target",0.321167883211679,"LMU"
"LMU_379_B","fam","distractor",0.129139072847682,"LMU"
"LMU_379_B","fam","none",0.536423841059603,"LMU"
"LMU_379_B","fam","target",0.334437086092715,"LMU"
"LMU_412_B","fam","distractor",0.102127659574468,"LMU"
"LMU_412_B","fam","none",0.714893617021277,"LMU"
"LMU_412_B","fam","target",0.182978723404255,"LMU"
"LMU_418_B","fam","distractor",0.206806282722513,"LMU"
"LMU_418_B","fam","none",0.534031413612565,"LMU"
"LMU_418_B","fam","target",0.259162303664921,"LMU"
"LMU_421_A","fam","distractor",0.0862068965517241,"LMU"
"LMU_421_A","fam","none",0.793103448275862,"LMU"
"LMU_421_A","fam","target",0.120689655172414,"LMU"
